Model;Layer;Seed;Epochs;Lipschitz;Lip capacity;Test accuracy;Cert Acc1;Cert Acc 2;Cert Acc 3;
"FCModel,FCModel,296,3,""tensor(5.3721, grad_fn=<MulBackward0>)"",7.421851099879281,92.71,87.16,78.19,63.15";;;;;;;;;;
"FCModel,FCModel,1,3,""tensor(5.4172, grad_fn=<MulBackward0>)"",7.564041358935546,92.69,87.1,77.72,62.33";;;;;;;;;;
"FCModel,FCModel,123,3,""tensor(5.6223, grad_fn=<MulBackward0>)"",7.641152954583608,92.64,86.89,77.38,60.81";;;;;;;;;;
"FCModel,FCModel,123,3,""tensor(5.6223, grad_fn=<MulBackward0>)"",7.641152954583608,92.64,86.89,77.38,60.81";;;;;;;;;;
"FCModel,FCModel,296,3,""tensor(5.3721, grad_fn=<MulBackward0>)"",7.421851099879281,92.71,87.16,78.19,63.15";;;;;;;;;;
"FCModel,FCModel,1,3,""tensor(5.4172, grad_fn=<MulBackward0>)"",7.564041358935546,92.69,87.1,77.72,62.33";;;;;;;;;;
"FCModel,FCModel,123,3,""tensor(5.6223, grad_fn=<MulBackward0>)"",0.9601027111400988,92.64,86.89,77.38,60.81";;;;;;;;;;
"FCModel,FCModel,296,3,""tensor(5.3721, grad_fn=<MulBackward0>)"",0.8966790280914042,92.71,87.16,78.19,63.15";;;;;;;;;;
"FCModel,FCModel,1,3,""tensor(5.4172, grad_fn=<MulBackward0>)"",0.9412109995610616,92.69,87.1,77.72,62.33";;;;;;;;;;
"FCModel,FCModel,123,3,""tensor(5.6223, grad_fn=<MulBackward0>)"",7.639375736636326,92.64,86.89,77.38,60.81";;;;;;;;;;
"FCModel,FCModel,296,3,""tensor(5.3721, grad_fn=<MulBackward0>)"",7.4199054232839465,92.71,87.16,78.19,63.15";;;;;;;;;;
"FCModel,FCModel,1,3,""tensor(5.4172, grad_fn=<MulBackward0>)"",7.56173475192671,92.69,87.1,77.72,62.33";;;;;;;;;;
"FCModel,FCModel,123,3,""tensor(5.6223, grad_fn=<MulBackward0>)"",7.641152954583608,92.64,86.89,77.38,60.81";;;;;;;;;;
"FCModel,FCModel,296,3,""tensor(5.3721, grad_fn=<MulBackward0>)"",7.421851613861182,92.71,87.16,78.19,63.15";;;;;;;;;;
"FCModel,FCModel,1,3,""tensor(5.4172, grad_fn=<MulBackward0>)"",7.563894852559505,92.69,87.1,77.72,62.33";;;;;;;;;;
"FCModel,FCModel,123,3,""tensor(5.6223, grad_fn=<MulBackward0>)"",7.641152205737693,92.64,86.89,77.38,60.81";;;;;;;;;;
"FCModel,FCModel,296,3,""tensor(5.3721, grad_fn=<MulBackward0>)"",7.421851613861182,92.71,87.16,78.19,63.15";;;;;;;;;;
"FCModel,FCModel,1,3,""tensor(5.4172, grad_fn=<MulBackward0>)"",7.563895356889247,92.69,87.1,77.72,62.33";;;;;;;;;;
"FCModel,FCModel,123,3,""tensor(7.6426, grad_fn=<MulBackward0>)"",7.641788947882205,92.71,83.89,65.93,38.22";;;;;;;;;;
"FCModel,FCModel,296,3,""tensor(7.4173, grad_fn=<MulBackward0>)"",7.4163548550441885,92.75,84.21,67.32,40.22";;;;;;;;;;
"FCModel,FCModel,1,3,""tensor(7.5685, grad_fn=<MulBackward0>)"",7.567773162781146,92.66,83.94,66.04,38.17";;;;;;;;;;
Vanilla2C2FPool;Vanilla2C2FPool;123;3;tensor(604.2542, grad_fn=<MulBackward0>);33.80799596;99.12;0;0;0;
Vanilla2C2F;Vanilla2C2F;123;3;tensor(348.9938, grad_fn=<MulBackward0>);42.24805405;98.87;0;0;0;
All2C2F;Orthogon;123;3;1;0.975414975;93.19;91.18;88.56;86.11;
Vanilla2C2FPool;Vanilla2C2FPool;123;20;tensor(8308.4072, grad_fn=<MulBackward0>);154.4262251;99.25;0;0;0;
Vanilla2C2F;Vanilla2C2F;123;20;tensor(3505.8376, grad_fn=<MulBackward0>);206.1911659;99.06;0;0;0;
All2C2F;Orthogon;123;20;1;0.966951269;94.47;92.86;90.94;88.23;
All2C2F;Sandwich;123;20;1;0.894656577;97.31;96.35;95.29;93.8;
Lip2C2F;LipC2F;123;20;1;0.950336787;96.69;95.72;94.36;92.69;
Lip2C2FPool;LipC2FPool;123;20;1;0.625762379;89.19;84.32;77.53;69.29;
AOL2C2F;AOL2C2F;123;20;1;0.936135252;88.59;85.21;81.46;76.84;
Vanilla2C2FPool;Vanilla2C2FPool;296;20;tensor(8386.8438, grad_fn=<MulBackward0>);190.239364;99.3;0;0;0;
Vanilla2C2F;Vanilla2C2F;296;20;tensor(3978.4758, grad_fn=<MulBackward0>);249.757351;99.06;0;0;0;
All2C2F;Orthogon;296;20;1;0.962988023;94.59;93.04;91.14;88.38;
All2C2F;Sandwich;296;20;1;0.922375818;97.25;96.31;94.98;93.63;
Lip2C2F;LipC2F;296;20;1;0.954038839;96.51;95.51;94.21;92.6;
Lip2C2FPool;LipC2FPool;296;20;1;0.729641737;91.15;87.22;82.37;76.14;
AOL2C2F;AOL2C2F;296;20;1;0.907781819;88.79;85.62;81.97;77.53;
Vanilla2C2FPool;Vanilla2C2FPool;1;20;tensor(8028.9448, grad_fn=<MulBackward0>);145.6779008;99.37;0;0;0;
Vanilla2C2F;Vanilla2C2F;1;20;tensor(3400.5754, grad_fn=<MulBackward0>);230.1319764;99.13;0;0;0;
All2C2F;Orthogon;1;20;1;0.950621146;94.59;92.86;90.9;88.42;
All2C2F;Sandwich;1;20;1;0.926117269;97.27;96.34;95.26;93.81;
Lip2C2F;LipC2F;1;20;1;0.95083327;96.62;95.68;94.29;92.57;
Lip2C2FPool;LipC2FPool;1;20;1;0.922137336;94.27;92.4;89.39;86.4;
AOL2C2F;AOL2C2F;1;20;1;0.935350561;88.7;85.57;81.64;77.08;
Lip2C2FPool;LipC2FPool;123;20;1;0.613916129;90.13;85.95;80.15;73.23;
Lip2C2FPool;LipC2FPool;123;20;1;0.513314678;88.9;82.9;74.92;65.56;
Lip2C2FPool;LipC2FPool;296;20;1;0.730316146;91.2;87.65;83.04;77.53;
Lip2C2FPool;LipC2FPool;1;20;1;0.902904188;94.3;92.24;89.3;86.2;
Vanilla2C2FPool;Vanilla2C2FPool;123;20;tensor(8308.4072, grad_fn=<MulBackward0>);154.4262251;99.25;0;0;0;
All2C2F;Orthogon;123;20;2;1.721227836;97.67;96.27;94.23;91.88;
All2C2F;Sandwich;123;20;2;1.693610537;98.9;98.12;97.03;95.35;
All2C2F;Orthogon;123;20;4;2.760619035;98.7;97.41;94.3;88.32;
All2C2F;Sandwich;123;20;4;2.905782683;99.31;98.36;96.82;93.5;
Lip2C2F;LipC2F;123;20;2;1.568389778;97.98;96.6;94.82;92.47;
Lip2C2F;LipC2F;123;20;4;3.155529582;98.89;97.26;95.17;91.1;
Lip2C2FPool;LipC2FPool;123;20;2;0.812237404;91.75;84.68;74.26;60.84;
Lip2C2FPool;LipC2FPool;123;20;4;1.628804082;95.73;90.37;79.95;61.42;
AOL2C2F;AOL2C2F;123;20;2;1.730652948;93.08;90.12;86.15;80.72;
AOL2C2F;AOL2C2F;123;20;4;2.917908286;95.87;92.24;85.86;76.16;
All2C2F;Orthogon;296;20;2;1.729970408;97.72;96.36;94.48;91.89;
All2C2F;Sandwich;296;20;2;1.724012883;98.83;98.2;97.02;95.44;
All2C2F;Orthogon;296;20;4;2.990545634;98.78;97.36;94.33;88.63;
All2C2F;Sandwich;296;20;4;3.032685874;99.31;98.38;96.84;93.55;
Lip2C2F;LipC2F;296;20;2;1.780360418;98.33;97.25;96.08;94.14;
Lip2C2F;LipC2F;296;20;4;3.092395525;98.92;97.74;95.46;91.31;
Lip2C2FPool;LipC2FPool;296;20;2;1.383563124;95.74;92.97;88.79;82.8;
Lip2C2FPool;LipC2FPool;296;20;4;2.615293632;97.27;94.47;88.89;79.35;
AOL2C2F;AOL2C2F;296;20;2;1.703508176;93.08;89.87;85.65;80.26;
AOL2C2F;AOL2C2F;296;20;4;3.009156717;96.01;92.73;86.6;76.8;
All2C2F;Orthogon;1;20;2;1.780550702;97.63;96.24;94.33;91.64;
All2C2F;Sandwich;1;20;2;1.690318897;98.87;98.15;97.06;95.29;
All2C2F;Orthogon;1;20;4;2.931603377;98.85;97.39;94.43;88.89;
All2C2F;Sandwich;1;20;4;2.967270493;99.29;98.35;96.88;93.76;
Lip2C2F;LipC2F;1;20;2;1.75989372;98.34;97.32;95.79;94.12;
Lip2C2F;LipC2F;1;20;4;3.081807678;98.8;97.61;95.25;91.46;
Lip2C2FPool;LipC2FPool;1;20;2;1.739062325;97.3;95.63;93.17;89.67;
Lip2C2FPool;LipC2FPool;1;20;4;3.120430161;98.34;96.34;92.83;86.32;
AOL2C2F;AOL2C2F;1;20;2;1.718880527;92.87;89.68;85.9;80.33;
AOL2C2F;AOL2C2F;1;20;4;2.889076602;95.93;92.28;86.15;75.91;
Lip2C2F;LipC2F;123;20;1;0.950336787;96.69;95.68;94.3;92.63;True
Lip2C2F,LipC2F,123,20,2.0,1.5683897782700673,97.98,96.57,94.63,92.14,True
Lip2C2F,LipC2F,123,20,4.0,3.155529582076418,98.89,97.24,94.85,90.47,True
Lip2C2F,LipC2F,296,20,1.0,0.9540388385376313,96.51,95.49,94.14,92.49,True
Lip2C2F,LipC2F,296,20,2.0,1.7803604180059496,98.33,97.24,95.99,94.01,True
Lip2C2F,LipC2F,296,20,4.0,3.092395524501362,98.92,97.67,95.25,90.74,True
Lip2C2F,LipC2F,1,20,1.0,0.9508332701395221,96.62,95.69,94.32,92.63,True
Lip2C2F,LipC2F,1,20,2.0,1.7598937196503435,98.34,97.31,95.76,94.02,True
Lip2C2F,LipC2F,1,20,4.0,3.08180767839094,98.8,97.52,95.1,90.84,True
