Model;Layer;Seed;Epochs;Lipschitz;Lip capacity;Test accuracy;Adv 1;Adv2;Adv3;;;;;;
LipLeNet5;LipLeNet5;1;50;100;22.62498247;0.987299979;0.573099971;0.168899998;0.143999994;;;;;;
Lip2C2FPool;LipC2FPool;1;10;1;0.038303682;0.714399993;0.546800017;0.417299986;0.393400013;;;;;;
Lip2C2FPool;LipC2FPool;1;10;1;0.038303682;0.714399993;0.546800017;0.417299986;0.393400013;;;;;;
Lip2C2FPool;LipC2FPool;1;10;2;0.193155731;0.814300001;0.637799978;0.488499999;0.461100012;;;;;;
Lip2C2FPool;LipC2FPool;1;10;4;0.731385212;0.912699997;0.742999971;0.524399996;0.483200014;;;;;;
Lip2C2FPool;LipC2FPool;123;10;1;0.034625551;0.718100011;0.558399975;0.432399988;0.406500012;;;;;;
Lip2C2FPool;LipC2FPool;123;10;2;0.115477124;0.786499977;0.610800028;0.464100003;0.437400013;;;;;;
Lip2C2FPool;LipC2FPool;123;10;4;0.725313652;0.905300021;0.731899977;0.518299997;0.478399992;;;;;;
Lip2C2FPool;LipC2FPool;296;10;1;0.022315619;0.543900013;0.423599988;0.337099999;0.319499999;;;;;;
Lip2C2FPool;LipC2FPool;1;10;1;0.178165751;0.817900002;0.64410001;0.465000004;0.432300001;;0.140291464;0.808899999;0.640366654;0.477500002;0.446633329
Lip2C2FPool;LipC2FPool;123;10;1;0.150150578;0.83160001;0.662199974;0.498600006;0.466699988;;;;;;
Lip2C2FPool;LipC2FPool;296;10;1;0.092558064;0.777199984;0.614799976;0.468899995;0.440899998;;;;;;
AOL2C2F;AOL2C2F;1;10;1;0.931489016;0.877499998;0.681200027;0.463099986;0.42019999;;0.918932906;0.878999988;0.692533354;0.480033328;0.43476666
AOL2C2F;AOL2C2F;123;10;1;0.92943948;0.880599976;0.688300014;0.476599991;0.429800004;;;;;;
AOL2C2F;AOL2C2F;296;10;1;0.895870223;0.878899992;0.708100021;0.500400007;0.454299986;;;;;;
Lip2C2FPool;LipC2FPool;1;10;2;0.73001762;0.916899979;0.750100017;0.519699991;0.469500005;;0.911984623;0.926899989;0.761166672;0.504966666;0.445133328
Lip2C2FPool;LipC2FPool;123;10;2;0.872394771;0.922100008;0.761099994;0.523400009;0.465299994;;;;;;
Lip2C2FPool;LipC2FPool;296;10;2;1.133541478;0.941699982;0.772300005;0.471799999;0.400599986;;;;;;
AOL2C2F;AOL2C2F;1;10;2;1.688321938;0.921299994;0.739000022;0.456800014;0.376300007;;1.700330711;0.920633316;0.738566657;0.449533343;0.366433332
AOL2C2F;AOL2C2F;123;10;2;1.723964687;0.918299973;0.733699977;0.442000002;0.361799985;;;;;;
AOL2C2F;AOL2C2F;296;10;2;1.688705508;0.922299981;0.742999971;0.449800014;0.361200005;;;;;;
Lip2C2FPool;LipC2FPool;1;10;4;2.259031396;0.962700009;0.756799996;0.313499987;0.244399995;;2.392264464;0.96236666;0.75183334;0.320799996;0.252933333
Lip2C2FPool;LipC2FPool;123;10;4;1.98254797;0.959299982;0.76730001;0.359100014;0.280600011;;;;;;
Lip2C2FPool;LipC2FPool;296;10;4;2.935214026;0.96509999;0.731400013;0.289799988;0.233799994;;;;;;
AOL2C2F;AOL2C2F;1;10;4;2.877240345;0.950500011;0.759899974;0.369300008;0.302300006;;2.90509747;0.951400002;0.76486665;0.371799996;0.300000002
